,Model,Actual,Correct
1823,richard iii was the last king from the house of plantagenet.,richard ii of england,False
1824,e.m. forster wrote 'howards end'.,e. m. forster,False
1827,"hallelujah, i'm a buh-liever, it's from ""hair spray"" the musical.",the heights,False
1834,"xylitol, e number e422, is a colorless and odorless liquid used as a sweetener, thickener, and humectant in foods.",glycerol,False
1835,le notre-dame de paris by victor hugo,notre dame de paris,False
1848,robert mclean,alistair maclean,False
1849,boise,"boise, idaho",False
1850,boise,"boise, idaho",False
1852,wet wet wet,texas,False
1859,rem (r.e.m.),mariah carey,False
1860,"viruses (in different forms): human, artistic, computer, and worms.",computer virus,False
1861,"common snapdragon (not correct, impatiens is the correct answer)",impatiens walleriana,False
1864,"edgar degas

(note: this response is a brief answer to the question and does not include additional context or explanatory text.)",edouard manet,False
1866,jimmy cliff,diana ross,False
1870,lakshadweep islands,andaman and nicobar islands,False
1873,'lungs' is the 2009 debut album by florence + the machine.,florence and the machine,False
1879,j.b. priestley wrote an inspector calls.,j. b. priestley,False
1881,carl davis,barrington pheloung,False
1882,french horn is another instrument in a brass band.,flugelhorn,False
1885,alaska natives,eskimos,False
1887,leonard goldberg,quinn martin,False
1888,"bernie madoff

(bernie madoff, a former financier, was sentenced to 150 years in prison in june 2009 for running a massive ponzi scheme, with his sons reporting him to federal authorities.)",bernard madoff,False
1896,scarlett johansson (2013),gwyneth paltrow,False
1899,edward iii married isabella of france.,edward ii of england,False
1901,ss great eastern,ss great britain,False
1902,little jimmy osmond,jimmy boyd,False
1905,bora bora is the most famous island in french polynesia.,tahiti,False
1906,talisker is the only single malt whisky distilled on the isle of skye.,talisker distillery,False
1907,nick lowe,joe jackson,False
1908,kenneth williams,melvyn hayes,False
1909,figs,ficus,False
1921,the verve (1995),m people,False
1930,eminem,jay z,False
1938,jacqueline lee bouvier married senator edward m. kennedy.,john f. kennedy,False
1939,"""a tale of two cities"" by charles dickens.",great expectations,False
1940,football (soccer) teams,football team,False
1943,james baskett played brer rabbit in the 1946 disney film 'song of the south'.,uncle remus,False
1968,yen,japanese yen,False
1969,nihon (or nippon),japan,False
1970,honshu is japan's second-largest island.,hokkaido,False
1977,brad pitt,telly savalas,False
1978,the scaffold,the hollies,False
1984,"emilie charlotte le breton, born in jersey in 1853, was better known as madame curie's mother.",lillie langtry,False
1987,st. george's hall,albert dock,False
1988,jason bell,kevin pietersen,False
1990,"""the late late breakfast club""

(this program was a religious talk show, not a news or general interest program.)",stars on sunday,False
1991,"""right here, right now"" was the first top ten entry for jesus jones.",international bright young thing,False
1995,running back,fullback,False
2003,dr. john brian david bb (jjb) was the chairman of wigan athletic.,dave whelan,False
2004,"""the cuckoo's calling""",the casual vacancy,False
2010,"""little orphan annie""",bugsy malone,False
2018,"u.s. navy

in case you want more context, john f. kennedy served as a pt boat commander in the u.s. navy during world war ii. he received the navy and marine corps medal for his actions in the pacific theater.",united states navy,False
2020,"the royal flying doctor service was established in 1928 by reverend john flynn in cloncurry, queensland, australia.",royal flying doctor service of australia,False
2024,united kingdom,britain,False
2027,"""don't look back"" (1979), a pop video featuring diana ross, was the first directed by john landis.",michael jackson's thriller,False
2034,"""heart of glass"" (not a johnny cash song, but blondie's hit single featured in the film roadie)",ring of fire,False
2036,"the mad hatter from ""alice in wonderland"" was skilled at topiary.",edward scissorhands,False
2037,"hot five

(this band was later expanded to the hot seven.)",louis armstrong and his hot five,False
2045,detective steve mcgarrett in hawaii five-0.,felix leiter,False
2046,'devils',the widows of eastwick,False
2048,the bonzo dog doo-dah band released 'cloud cuckoo land' and 'sense and jollification'.,the lightning seeds,False
2055,porto fc (september 2000 - december 2002),s.l. benfica,False
2057,"""the lord of the rings"" (the fellowship of the ring) was published on sept 21, 1937, but it was published as three separate volumes, and the subtitle ""there and back again"" was added later, appearing in the published version of ""the lord of the rings"" in 1954-55.",the hobbit,False
2059,mexican,peru,False
2066,may pang,yoko ono,False
2067,"the righteous brothers recorded ""juliet.""",the four pennies,False
2068,mrs. overall,acorn antiques,False
2070,"kris kross (feat. usher) released jumpin', jumpin' in 2000.",destinys child,False
2076,"samuel johnson, the english author, served as a justice of the peace.",henry fielding,False
2081,fyodor dostoevsky wrote the brothers karamazov.,fyodor dostoyevsky,False
2093,kate swann was the chief executive of debenhams until july 2013.,whsmith,False
2098,"""firework"" (katy perry featuring snoop dogg)",california gurls,False
2102,united states,america,False
2103,new zealand,whangarei,False
2104,"corn flakes, featuring henry's cat, was replaced by corn flakes with colonel rik in the 1980s.",ricicles,False
2107,the subject matter of ken burns' latest documentary is the history of the vietnam war.,prohibition,False
2109,"""radio 4's 'the hitchhiker's guide to the galaxy,"" kenneth williams and geoffrey mcgivern voiced all characters.",willo the wisp,False
2110,elton john postponed his civil ceremony in 2006.,george michael,False
2114,louisville,"louisville, kentucky",False
2123,'killer queen' is a character from queen musical 'a night at the opera'.,we will rock you,False
2127,jim davis wrote a kind of loving.,stan barstow,False
2135,edward iii,"edward, the black prince",False
2139,manchester city,manchester city f.c.,False
2143,george mcrae,exile,False
2147,britten composed 'the midsummer marriage' and 'the knot garden'.,michael tippett,False
2151,"the beatles with ""kon tiki"" in 1961.",the shadows,False
2152,table tennis (men's singles),archery,False
2170,"""much ado about nothing""",hamlet,False
2173,john osborne,christopher fry,False
2188,st. helens f.c. will play at langtree park in 2012.,st helens,False
2199,tom jones,engelbert humperdinck,False
2203,peter paul rubens,frans hals,False
2209,eric clapton,derek and the dominoes,False
2213,"lully, jean-baptiste",richard strauss,False
2214,african-american golfer,african american,False
2216,fleming's left-hand rule predicts the direction of motion in an electric motor.,john ambrose fleming,False
2217,hyundai manufactured the leganza.,daewoo,False
2225,leo mckern was born in england.,australia,False
2228,theodore roosevelt,william mckinley,False
2238,kevin whately plays sergeant hathaway in itv's detective series 'lewis'.,laurence fox,False
2239,the wizard of oz,the wonderful wizard of oz,False
2243,justin trudeau (as of 2021),david steel,False
2246,eugène delacroix,eugene delacroix,False
2251,celine dion,robbie williams,False
2264,william seward,william h. seward,False
2270,marge simpson,ralph,False
2271,michael jackson,nicolas cage,False
2275,"""the letter"" is the top 10 hit of 1959 by 'the browns' that tells the story of little jimmy brown.",the three bells,False
2276,candy canaday,hop sing,False
2278,john locke wrote the line 'a little learning is a dangerous thing'.,alexander pope,False
2279,"the quote ""a little learning is a dangerous thing"" is attributed to the roman poet, playwright, and philosopher, seneca.",alexander pope,False
2285,modest mussorgsky,pyotr ilyich tchaikovsky,False
2286,march,amy,False
2287,diana dors and nanette newman,pauline collins,False
2288,the cavern pub liverpool has rooms named brahms and liszt.,philharmonic dining rooms,False
2289,william gladstone,william ewart gladstone,False
2291,michael tippett,paul mccartney,False
2294,"""phantom of the opera premiered in the us on 10th december 1993.""",sunset boulevard,False
2295,"the artist who created 'the lobster telephone' in 1936 and 'mae west lip sofa' in 1937 is erich consemüller. however, these pieces are often mistakenly attributed to salvador dalí due to their surrealist style.",salvador dali,False
2304,"the passing of the third floor back, set in ealing, london, humorously portrays the area declaring independence upon discovering ancient documents linking it to the duchy of burgundy.",pimlico,False
2305,dover street,savile row,False
2306,arsenal won against manchester united.,crystal palace,False
2310,st. james's park,green park,False
2311,metropolitan line,central line,False
2312,the central line is coloured brown on the maps of the london underground.,bakerloo line,False
2314,"strokes, julian casablancas",andrew gold,False
2319,"timothy dalton, the duke of norfolk, is the current lord of mann.",elizabeth ii,False
2322,r.d. blackmore,r. d. blackmore,False
2323,grauman's chinese theatre,tcl chinese theatre,False
2324,neil diamond,bonnie tyler,False
2325,"boney m (all-male group originally, but the version you're referring to is a cover by a female group)",sister sledge,False
2326,"gary oldman appeared in both ""friends"" and ""lost in space"". however, he played a different character in each. in ""friends,"" he guest-starred as richard cypher, while in ""lost in space,"" he played dr. zachary smith.",matt le blanc,False
2330,fermanagh (county),county fermanagh,False
2331,"the answer is ""mary tyler moore show.""",the mary tyler moore show,False
2334,eurymancery (band),eternal,False
2335,baton rouge,"baton rouge, louisiana",False
2338,"vinnie jones sang the theme song to 'fireball xl5' in 'love, honour and obey'.",sean pertwee,False
2345,"giuseppe verdi, an italian composer, is renowned for his numerous operas, including anne boleyn and lucretia borgia, and was born in bergamo, later joining the austrian army post-napoleonic era.",gaetano donizetti,False
2346,property ladder,homes under the hammer,False
2347,john davis (actor),jasper carrott,False
2352,leia organa (skywalker),princess leia,False
2359,maastricht stands on the maas river.,rotterdam,False
2365,fury road: the wasteland warrior,mad max: fury road,False
2366,"""it's one step beyond"" was madness' only number one.",house of fun,False
2369,"""like a prayer"" was madonna's first no.1 song of the 1990s.",vogue,False
2370,"""holiday"" was madonna's first number one single in the uk.",into the groove,False
2372,nancy cartwright,elizabeth taylor,False
2373,zebedee,ermintrude,False
2374,pierre-yves rochon,serge danot,False
2379,the mail on sunday album was by the chemical brothers.,flo rida,False
2386,apple,malus,False
2392,"manchester united have not been relegated since 1974, so they did not have a manager at that time.",tommy docherty,False
2394,gioachino rossini composed the manfred overture.,robert schumann,False
2395,anthony hopkins,mick jagger,False
2396,gershwin's music is featured in woody allen's manhattan.,george gershwin,False
2403,"vitebsk, belarus",russia,False
2404,france,russia,False
2406,shades of blue (siobhan fahey and marcella detroit),shakespeares sister,False
2409,"henry iii's mother and first wife were both named eleanor, followed by margaret of france as his second wife.",edward i of england,False
2412,"new york city, usa",united states,False
2413,george iv (secretly) married maria fitzherbert in 1785.,george iv of the united kingdom,False
2414,"blur released the 1999 comeback single ""maria.""",blondie,False
2418,louis xvi,louis xvi of france,False
2435,"""the film is 'the rescuers down under'.""",flubber,False
2439,jamie foxx plays martin luther king in the 2014 film 'selma'.,david oyelowo,False
2444,"bucks fizz, with ""making your mind up"" as their later hit.",black lace,False
2446,the spy who loved me (1977),the man with the golden gun,False
2447,king henry viii,henry viii of england,False
2448,annapolis,"annapolis, maryland",False
2450,"pietà

in this context, the term ""pietà"" refers to a specific type of artwork depicting mary supporting the dead body of jesus christ. this concept is deeply rooted in christian art, particularly during the renaissance period. notable examples include michelangelo's pietà and the pietà by giovanni da nola.",pieta,False
2451,james ii,james ii of england,False
2453,p.l. travers (helen lyndon goff),p. l. travers,False
2463,delacroix painted the tiger hunt and the massacre at chios.,eugene delacroix,False
2466,"""real world""",bent,False
2469,"""the story of the feuding warrior-generals, unaware they are father and son, is told in 'the siege of krishnapoor' by matthew arnold.""",sohrab and rustum,False
2475,"""the maxi yacht was named 'sayonara.""",drum,False
2477,"donald pleasence played professor fate's assistant, max, in the great escape.",peter falk,False
2480,st. johnstone plays its home games at mcdiarmid park.,st. johnstone f.c.,False
2482,street fighter characters,so solid crew,False
2487,er (1994-2009) is the longest-running emergency medical drama series in the world.,casualty,False
2489,santorini (greece),ibiza,False
2493,"edmund maurice hulse, 1st baron hulse",siegfried sassoon,False
2512,fastnet is the most southerly met office shipping forecast area.,trafalgar,False
2515,cancún is mexico's largest seaside resort.,cancun,False
2519,tom jones,shakin' stevens,False
2521,"""thriller"" is the michael jackson song with a video featuring him dancing on top of the statue of liberty.",black or white,False
2528,lansing,"lansing, michigan",False
2529,steamboat willie,plane crazy,False
2533,manfred mann wrote mighty quinn.,bob dylan,False
2534,beavis and butt-head,beavis and butthead,False
2535,max shreck (batman villain) and count dracula (austin powers character) are the linked names.,shrek,False
2536,stefan dennis,guy pearce,False
2546,john gavin played milton arbogast in psycho.,martin balsam,False
2548,alan price,wayne fontana,False
2549,chris farlowe,wayne fontana,False
2551,bourbon,bourbon whiskey,False
2552,volleyball,volley ball,False
2553,paul abraham's version of tchaikovsky's minute waltz,frederic chopin,False
2558,ella fitzgerald,ruth brown,False
2560,"allan sherman released ""please mister custer"" in 1960.",charlie drake,False
2561,the comedy of errors (mistresses ford and page),the merry wives of windsor,False
2570,the beatles,ufo,False
2574,queen elizabeth i,elizabeth i of england,False
2576,"""head"" was the original, slightly controversial title of the monkees' hit 'alternate title'.",randy scouse git,False
2580,"eric idle (not a doctor, but played one in the show)",graham chapman,False
2581,"""the fishing song (also known as the fish slapping dance)""",liberty bell,False
2582,"""the theme tune to 'monty python' is 'the lumberjack song.""",the liberty bell (march),False
2583,archibald pritchard (mr. creosote),mr creosote,False
2586,captain marvel (shazam) was introduced.,aquaman,False
2595,"ernesto ""che"" guevara",ernesto che guevara,False
2610,metical (mzn),mozambican metical,False
2612,"kegelstatt trio

(the kegelstatt trio is a common name for mozart's divertimento in g for strings, k. 492, due to its association with a billiard hall called kegelstatt in salzburg.)",eine kleine nachtmusik,False
2623,cary grant was the individual.,errol flynn,False
2624,lord carlyon (alias campion),lord peter wimsey,False
2630,"steps:
1. identify the question: which group had a no 1 hit in 1982 with my camera never lies?
2. find the answer: the group that had a no 1 hit in 1982 with ""my camera never lies"" was dean friedman.
3. answer the question: dean friedman

final answer: dean friedman",bucks fizz,False
2632,"d.h. lawrence wrote my life and loves in 1926, originally banned in the us.",frank harris,False
2640,waterloo (1815),battle of waterloo,False
2641,g.k. chesterton,g. k. chesterton,False
2642,"thrush was the arch-enemies of napoleon solo, ilya kuriakin, and the u.n.c.l.e. agency.",the man from u.n.c.l.e.,False
2643,c.s. lewis,c. s. lewis,False
2644,"oscar wilde (not a doctor) published ""the narrative of john smith"" in 2011.",arthur conan doyle,False
2645,mercury program,project mercury,False
2649,pickwick papers,the pickwick papers,False
2651,the flag of the united states has an eagle and a snake.,mexico,False
2652,"the flag of pakistan (27 stars) has the 2nd highest number of stars, following the flag of the united states (50 stars).",usa,False
2655,"sir tyrone guthrie, a renowned irish theatre director, was the founder and first director of the national theatre.",laurence olivier,False
2656,enid blyton wrote 'national velvet'.,enid bagnold,False
2659,adolf eichmann was charged with war crimes in february 1983.,klaus barbie,False
2662,guns n' roses,inxs,False
2677,atlantic city,"atlantic city, new jersey",False
2681,ryan seacrest,dick clark,False
2689,"clarke, the saxophonist in ""new york, new york,"" falls for francine.",jimmy,False
2692,all blacks,new zealand national rugby union team,False
2699,"the aftermath

(note: the aftermath is not a well-known pop duo, but they are the duo that consists of amy renee heidmann and nicholas noonan.)",karmin,False
2708,john le carré,john le carre,False
2712,"""the brothers karamazov"" by fyodor dostoevsky",the idiot,False
2723,"albert einstein (nobel prize in physics, not an olympic medallist, but he was awarded the nobel peace prize)","philip noel-baker, baron noel-baker",False
2728,james joyce,w. b. yeats,False
2730,"linus pauling (1901-1994) is the only person to have won a nobel prize for both physics and chemistry (1954 and 1962, respectively).",marie curie,False
2734,james mcneill whistler painted nocturne; blue and silver - chelsea in 1871.,james abbott mcneill whistler,False
2739,george michael's,paul young,False
2740,they were known for their success in the national hockey league from the 1980s to early 1990s.,ice hockey,False
2747,"balder, the god of light, beauty, innocence, and peace.",baldr,False
2748,appalachian mountains,rocky mountains,False
2751,transylvania (never officially admitted as a state),franklin,False
2759,"zoë heller

(zoë heller is a london-born novelist and journalist of german parentage, known for writing everything you know and notes on a scandal.)",zoe heller,False
2760,pink,anastacia,False
2763,a.a. milne,a. a. milne,False
2768,pablo picasso painted the oath of the tennis court.,jacques-louis david,False
2773,"""george orwell's '1984'""",nineteen eighty-four,False
2785,the biggest city in ohio that doesn't start with the letter c is columbus.,toledo,False
2797,fagin kidnaps oliver in charles dickens' 'oliver twist'.,bill sykes,False
2801,"xerxes' lament (xerxes, hwv 4)",largo,False
2802,"horatio herbert kitchener, british military leader, defeated the mahdi at omdurman in 1898 and served as british secretary for war until his death in the sinking of the cruiser hampshire in 1916.","herbert kitchener, 1st earl kitchener",False
2804,doris day,vera lynn,False
2810,france,switzerland,False
2811,saturn,uranus,False
2812,"in russia, optimisticeskaja cave is located.",ukraine,False
2815,edward iii,edward iii of england,False
2816,the country that withdrew from opec in 2008 is gabon.,indonesia,False
2817,"v.s. pritchett's novel ""the original of laura"" was published 32 years after his death.",vladimir nabokov,False
2828,arthur conan doyle,gerald durrell,False
2829,judy garland,eva cassidy,False
2831,jean-michel jarre,jean michel jarre,False
2833,namco (namco ltd.),midway,False
2836,michael gambon,michael hordern,False
2843,queen of the south play their home games at palmerston park.,queen of the south f.c.,False
2853,"zlatan ibrahimovic signed a 5-month contract with paris st-germain in january 2013, donating his salary to charity.",david beckham,False
2855,le café des arts (the artist's quarter) in paris is known as le café de flore.,montmartre,False
2863,"gustav holst composed a sea symphony, a london symphony, and a pastoral symphony.",ralph vaughan williams,False
2869,"""catch a falling star""",dreaming,False
2873,the foo fighters,chuckle brothers,False
2878,thirty years war,thirty years' war,False
2882,"teaching and learning strategies

in a more concise form: teaching methodologies

in a single word: didactics (for those familiar with the term)",education,False
2884,"""goodnight sweetheart""",ever decreasing circles,False
2889,"blackpool, united kingdom",blackpool pleasure beach,False
2920,"chris brown's album, ""f.a.m.e."", was released while phil spector was in jail.",rachelle short,False
2921,lisa faulkner,fern britton,False
2923,rachmaninoff's piano concerto no. 2,edvard grieg,False
2929,"ashanti

in case you'd like more context, ashanti is an american singer-songwriter who released the song ""pieces of me"" in 2004. the song became a hit and was a part of her second studio album, ""concrete rose.""",ashlee simpson,False
2935,ronald binge,arthur sullivan,False
2937,"""dark side of the moon"" was released in march 1973.",the dark side of the moon,False
2939,rose mcgowan,bob geldof,False
2941,sharing and discovering creative ideas.,photo sharing,False
2942,bill nighy (not a member of the rolling stones) played captain jack teague.,keith richards,False
2945,jupiter's moon io has the largest known volcano in our solar system.,mars,False
2951,joni mitchell released the 1975 album playing possum.,carly simon,False
2959,english channel,portland,False
2969,the capital of poland prior to warsaw was warsaw itself (during german occupation). the capital of poland before the german occupation was warsaw.,krakow,False
2972,anthony andrews,robin ellis,False
2974,czech republic,poland,False
2980,paul vi,pope paul vi,False
2981,linus was the second pope.,pope linus,False
2982,john paul ii (1978-2005),pope john paul ii,False
2989,trinidad and tobago,trinidad & tobago,False
2992,francis bacon,francisco goya,False
2994,"sado estuary

(the sado estuary is a sea area located off lisbon, portugal.)",trafalgar,False
2997,mozart's symphonies,wolfgang amadeus mozart,False
2999,west bromwich albion vs. queens park rangers (2013),west ham united f.c.,False
3000,arsenal fc's kit was designed by bruce oldfield in 1997.,norwich city f.c.,False
3001,manchester united,manchester united f.c.,False
3004,françois hollande,jacques chirac,False
3010,prestwick airport is one of scotland's airports.,glasgow,False
3011,derby county play home games at pride park.,derby county f.c.,False
3012,arthur balfour,henry campbell-bannerman,False
3020,"william gladstone, in 1866",harold macmillan,False
3025,"sarah, duchess of york",sarah ferguson,False
3028,prince albert ii of monaco,"albert ii, prince of monaco",False
3029,the prix goncourt is awarded for the best french novel of the year.,literature,False
3030,chesterfield fc play their home games at proact stadium.,chesterfield f.c.,False
3033,whitney houston reached no.1 with the promise of a new day.,paula abdul,False
3035,duke milan,antonio,False
3040,norway,poland,False
3041,a puffin belongs to the alcidae family.,auk,False
3042,donna summer,donny osmond,False
3044,a navigational instrument used in ancient times.,constellation,False
3048,parallelogram with oblique angles (or oblique quadrilateral),rhombus,False
3051,helena bonham carter,miranda richardson,False
3053,queen máxima is the current queen of the netherlands.,beatrix,False
3057,norway (from 1905 to 1991),holland,False
3058,"albert, duke of saxe-coburg and gotha","albert, prince consort",False
3060,lancashire,leicestershire,False
3066,former mayor of chicago (2011-2019),white house chief of staff,False
3073,frank sinatra,joey bishop,False
3074,edgar allan poe,edgar allen poe,False
3082,"george michael's last top 10 hit in the uk in 1996 was ""fastlove.""",the beatles,False
3083,san sebastián (donostia),san sebastian,False
3084,"karen england and rebecca knight, known as ""angelique kidjo and yo-yo ma's secret sisters,"" achieved success with their album beyond imagination.",opera babes,False
3086,"al green, in 1995 and 1996.",eric clapton,False
3092,jacky wilson,jackie wilson,False
3100,éamon de valera was the president of the republic of ireland between 1959 and 1973.,eamon de valera,False
3101,shane duffy scored republic of ireland's only goal during the finals.,sean st ledger,False
3103,mozart (died while composing requiem mass in d minor),wolfgang amadeus mozart,False
3106,"elisha collier, an american gunsmith, is credited with inventing the first practical revolver in 1836.",samuel colt,False
3119,centre pompidou,centre georges pompidou,False
3122,t. rex,t rex,False
3129,"flamingo land resort

(note: this response is generated by a model and might not perfectly adhere to grammar and conventions, but it provides the correct answer to the question.)",lightwater valley,False
3139,a3 crosses the hammersmith bridge over the river thames.,london bridge,False
3143,george baker,kevin whately,False
3146,duran duran (misidentified as a girl group) with the song 'a view to a kill' reached number 3 in the uk pop charts of 1984. the song features a sample of robert de niro's dialogue from the james bond film of the same name.,bananarama,False
3149,united states,usa,False
3155,a pipe organ can be a rock band and a card game (if designed as such).,heart,False
3156,"auguste rodin, a u.s. born sculptor, created works such as genesis, the rock drill, and jacob and the angel.",jacob epstein,False
3167,"phantom, ghost, dawn, cullinan, and spectre are the current rolls-royce models.",rolls-royce phantom,False
3169,chelsea football club,chelsea f.c.,False
3170,augustus caesar was the first roman emperor to grow a beard.,hadrian,False
3181,tybalt,benvolio,False
3186,john thomson,ben kingsley,False
3189,southend united,southend united f.c.,False
3190,little dorrit,oliver twist,False
3192,"grant mitchell starred in ""the bill.""",emmerdale,False
3195,"""virginia plain"" is roxy music's only uk number one single.",jealous guy,False
3197,the duke of kent holds the title 'baron greenwich'.,"prince philip, duke of edinburgh",False
3198,"fleet admiral (not a direct equivalent, but the highest rank)",vice admiral,False
3200,hampshire royals,worcestershire,False
3205,liam finn is the only player from the republic of ireland to have represented great britain at test level in rugby league.,brian carney,False
3206,martin johnson,lewis moody,False
3207,martin johnson,will carling,False
3208,scarlets,toulon,False
3210,kenneth williams plays the rumpo kid.,sid james,False
3211,"harold pinter

for more trivia questions and answers, check out the trivia category on my blog!",john mortimer,False
3213,australia,new zealand,False
3218,ginger beer is mixed with whisky to make a rusty nail.,drambuie,False
3220,julia quinn,jilly cooper,False
3222,alec guinness won a best supporting actor oscar for his role in ryan's daughter (1970).,john mills,False
3226,"the sweet reached number one in the uk charts with sad, sweet dreamer in october 1974.",sweet sensation,False
3233,w.c. handy composed the saint louis blues.,w. c. handy,False
3245,"""not i"" by samuel beckett",breath,False
3246,trinity college dublin,"trinity college, dublin",False
3263,"john siddons, the actor, was sarah siddons' brother.",john philip kemble,False
3264,"the war of austrian succession, spanning from 1740 to 1748, involved multiple european powers including prussia, bavaria, france, spain, sardinia, and saxony, over the succession of the austrian empire.",war of the austrian succession,False
3266,beyoncé released the album i am sasha fierce in 2008.,beyonce,False
3270,darrell hammond,billy crystal,False
3274,"abba won eurovision song contest 1974 with ""save all your kisses for me"".",brotherhood of man,False
3277,world war ii,world war 2,False
3284,fred jones,freddie,False
3286,"martini

(note: this answer is a general response and may not cover all variations of the martini cocktail, as the specific recipe can vary based on preferences, such as the ratio of scotch to vermouth or the addition of other ingredients.)",rob roy,False
3288,rangers fc,rangers f.c.,False
3290,hot pepper spiciness,pungency,False
3293,the beatles,the coasters,False
3297,"""saving private ryan"" is the 1998 film that fictionalizes the battle of mount austen during the guadalcanal campaign in the second world war.",the thin red line,False
3299,arctic monkeys won the mercury prize in 2008 with the seldom seen kid.,elbow,False
3300,"""a real and true love song"" (officially known as ""love you like a love song"")",who says,False
3305,mozart composed the 'haffner serenade'.,wolfgang amadeus mozart,False
3309,philip hammond,michael fallon,False
3311,bristol,gloucester,False
3313,elias howe,isaac singer,False
3317,a novel by carlos ruiz zafón.,carlos ruiz zafon,False
3319,"timbuk3 (band) had a no. 1 hit with ""shakedown"" in the 1980s.",bob seger,False
3321,england,britain,False
3322,the tempest,hamlet,False
3325,"""the taming of the shrew""",julius caesar,False
3328,"the only shakespeare play with an animal in the title is ""the tempest.""",the taming of the shrew,False
3332,galway bay weather forecast area,rockall,False
3342,"""the sign of four""",the hound of the baskervilles,False
3349,"lester piggott

explanation:
les piggott was the jockey who rode the 1978 derby winner, shirley heights. he is one of the most successful jockeys in the history of horse racing, with numerous victories in major races across the world.",greville starkey,False
3355,cognac,brandy,False
3358,"""bananas (1971)""",annie hall,False
3359,the 'doppelsigrune' or 'sig runes' was the symbol of the thule society.,schutzstaffel,False
3365,"""holding back the years"" was simply red's only number one hit.",fairground,False
3368,comrade homer,chief wiggum,False
3370,reginald arthur wallis (r.a. wallis),jack vettriano,False
3374,"terence rattigan wrote the rat trap, sirocco, and the better half.",noel coward,False
3375,"urbano ""uri"" gonzalez, a character from the sitcom ""roseanne,"" was the one dan quayle criticized, linking him to the perceived decline of family values during the 90s.",murphy brown,False
3378,northampton town fc,northampton town f.c.,False
3385,w.h. auden,john betjeman,False
3387,"mars, incorporated",nestle,False
3389,michael che is the snl cast member hosting this year's shark week.,andy samberg,False
3392,"""the young and the restless"" ended its historic run last week.",guiding light,False
3393,the society of london theatre's annual awards are known as the olivier awards.,laurence olivier award,False
3395,rock salt,halite,False
3400,mars is the third smallest planet in our solar system (excluding pluto).,venus,False
3402,mercury is the smallest planet in the solar system.,pluto,False
3403,ireland,republic of ireland,False
3408,pete seeger,the everly brothers,False
3409,"""west side story"" contains the songs 'true love' and 'well did you ever'.",high society,False
3410,tintin and snowy (the snowy is a dog character in the tintin comics),laurel and hardy,False
3422,johannesburg rhymes with beret.,durban,False
3428,michael nyman,andrew lloyd webber,False
3431,sheffield is the administrative centre of south yorkshire.,barnsley,False
3438,assassinated while in office.,assassination,False
3440,galápagos penguin,galapagos penguin,False
3446,kumar sangakkara,tillakaratne dilshan,False
3447,colombo,sri jayawardenepura kotte,False
3449,"the number one hit ""stagger lee"" was by the rolling stones.",lloyd price,False
3450,rick astley reached number seven in the charts in 1994 with his cover of 'stairway to heaven'.,rolf harris,False
3451,"""2001: a space odyssey""",a clockwork orange,False
3453,u2,paul weller,False
3454,"""family guy""",american dad!,False
3456,pilchards (herring-like fish) are traditionally used to make stargazy pie.,sardine,False
3460,"""living on an island""",rocking all over the world,False
3467,newcastle united,huddersfield town a.f.c.,False
3468,"toad, in the 1996 film wind in the willows.",mole,False
3471,"a refusal to mourn the death, by stevie smith",not waving but drowning,False
3473,stan cummins (november 2006),daniel anderson,False
3482,caravaggio,rembrandt,False
3486,arabian gulf,gulf of oman,False
3489,jamie laing was the first person to be voted off this year's 'strictly come dancing'.,tony jacklin,False
3491,the little mermaid,pinocchio,False
3494,franz lehár,sigmund romberg,False
3495,björk gudmundsdottir arrived at studio 54 on a white horse for her 32nd birthday party.,bianca jagger,False
3498,"the bay city rollers reached number one in the uk charts with sugar baby love on may 18th, 1974.",the rubettes,False
3504,thaddeus john greene (aka joaquin phoenix),casey affleck,False
3510,the seventh planet from the sun is saturn.,uranus,False
3516,madame butterfly,madama butterfly,False
3517,marius petipa,julius reisinger,False
3521,kattegat sea,baltic sea,False
3522,ray winstone plays george carter in 'the sweeney' (2012).,ben drew,False
3524,tina turner's song title.,donny osmond,False
3527,zürich is the largest city in switzerland.,zurich,False
3529,"beethoven's symphony no. 3, also known as the ""eroica,"" contains a funeral march.",ludwig van beethoven,False
3532,li hongzhang's command,charles george gordon,False
3534,"""relight my fire""",pray,False
3535,gary barlow announced his departure last month.,jason orange,False
3543,robert bloch,bob dylan,False
3551,1989,22,False
3554,the 1999 film tea with mussolini is based on the autobiography of maria bellonci.,franco zeffirelli,False
3562,severn river,river severn,False
3563,"""templeton peck is a character in 'the andy griffith show'.""",the a-team,False
3566,nashville,"nashville, tennessee",False
3567,nashville,"nashville, tennessee",False
3568,john mcenroe,jimmy connors,False
3570,idris elba,adam faith,False
3571,granny weatherwax rode binky.,death,False
3572,austin,"austin, texas",False
3575,west ham united fc,west ham united f.c.,False
3577,boyz ii men,98 degrees,False
3580,george harrison,ringo starr,False
3585,"peter o'toole, the award-winning english actor, has appeared in over 60 films since his debut in 1962, with a notable role as butterfly collector freddie clegg in the collector.",terence stamp,False
3590,the lord of the rings,the hobbit,False
3591,the lord of the rings,the hobbit,False
3594,"energy and its transformation

in under a sentence:
thermodynamics is the study of energy and its transformation.",heat,False
3596,sideshow bob's replacement is disco stu.,sideshow mel,False
3601,joseph gordon-levitt,french stewart,False
