index,Model
852,"Midlothian, Scotland; Scottish Government (official symbol: Thistle)"
2689,Not provided in the context.
813,Liechtenstein
1948,Afghanistan does not border China and does not use power plug type Bs 546.
1859,"Eau Claire is not mentioned in the context, and USC is not from Columbia (United States of America)."
69,Bolivia borders Peru.
404,Spain
602,Tennessee
2137,Walter Scott
3310,Bahrain
1107,Brazil
1059,Real Madrid C.F.
1970,Malibu
3422,"John Cage, a pianist born in Los Angeles, was involved in the project."
164,"No, Bill Clinton did not study at the University of Oxford in the Greenwich Mean Time Zone."
1621,Big Fish
3001,Ukraine does not have a religious organization running the country since 1995-07 and borders Slovakia. (No such country exists in the given context.)
618,No Arabic-speaking countries are in the Eastern Time Zone.
2396,Manhattan
1772,Judaism is not the main religion in Eastern Europe with a founding figure named Sarah.
551,Netherlands
580,Miami Dolphins
1062,"Marilyn Monroe was not a Pentecostal, and there is no record of her having an affair with John Kennedy."
1708,News Corporation
2792,Joe Jonas
1886,The Last Song
3267,"Antoni Gaudi was not mentioned in the context, and Bauhaus was not influenced by anyone in the provided context."
605,Washington Huskies
1852,"Iraq (does not speak Arabic, but the country where the Imam Hussein Mosque bombing occurred does)"
1224,Chile
181,En_Avant_de_Guingamp
220,Not provided in the context.
77,Guinea
2123,Abraham Lincoln did not influence Whitman's poetry.
627,Johns Hopkins University
507,Kingdom of Great Britain
3072,Pashto language
2033,Madrid
1523,Athens
190,Not provided in the context.
197,Kingdom of Great Britain
1653,Guatemala
195,Athens
2902,Not provided in the context.
1798,Mandarin Chinese
1644,The Last Song
2873,Battleship
1728,Manhattan
1404,Not provided in the context.
944,Miami Dolphins
20,Canada does not follow a specific religion with a religious text called The Bible.
820,Paraguay
1490,Illinois (biblioness location)
244,Judaism (GB)
226,Illinois
898,South Africa
1325,NBCUniversal (based in Scotland)
838,Miami Dolphins
2472,"Harry Potter and the Order of the Phoenix, Harry Potter and the Half-Blood Prince"
3134,Republic of Ireland
723,"Chivas USA (not Ronaldo Nazário, but Brazil national football team played there)"
661,Turkey
1561,William Shakespeare
2394,News Corporation
1631,Abraham Lincoln
1784,Brazil
3159,Battleship
2825,The Bible is not associated with a main Eastern European religion.
283,Germany does not contain Lejre Municipality. Denmark contains Lejre Municipality.
2531,Kyrgyzstan
608,Abraham Lincoln
1210,Richard Burton
733,Austria
1171,"Germany, The subject Alexander Mintz talked about was country-Germany."
29,Not provided in the context.
1367,Egypt
481,Not provided in the context. The context only mentions Judaism in Great Britain.
2155,"Catholicism, not mentioned in the context, is not popular in Canada. Protestantism is popular in Tennessee, as per the context."
194,No answer in the provided context.
3506,None (No artist mentioned in the context was nominated for the Grammy Award for Best Recording Package or is said to have influenced Roy Lichtensein's artwork.)
3199,No country in the Central Time Zone speaks Arabic.
2900,Indonesian is not featured in the Buffyverse. The Buffyverse primarily features English.
588,Germany does not use the Danish krone as its currency.
1005,Benin
523,Madrid
2562,Denmark
1280,"Wales, not Kingdom of Great Britain (Welsh_Language, None-/location/country/official_language-Wales; None-/organization/organization/child./organization/organization_relationship/child-None)"
1617,Washington Huskies football
564,Turkey
3090,"Not provided in the context. Miley Cyrus did not appear in the movie ""Big Fish"" which is the only movie mentioned in the context."
1766,Sikhism
1209,Belgium
2874,Egypt
432,Miami Dolphins
3410,Georg Wilhelm Friedrich Hegel
2951,William Shakespeare
1302,New Orleans Saints
1657,Constitutional monarchy
2518,Arsenal_F.C.
3221,Not provided in the context.
1619,China
24,Egypt
366,Bulgaria
995,Kansas
1876,Not provided in the context.
557,Canada does not follow the religion of Tamil Nadu Thowheed Jamath.
887,English Language
1678,"Tinker Bell: Secret of the Wings (National Film Board of Canada involvement not confirmed, Lucy Hale's involvement not specified)"
1445,Marilyn Monroe
2819,Scotland
1414,"William Shakespeare, not Arthur Miller."
3031,"Switzerland, CH"
1510,Battleship
2986,Constitutional monarchy
2039,"Teacher-GB (Ed O'Neill's profession in the given context, not Einstein's in The Prime of Miss Jean Brodie)"
3407,Scream 4
2256,Abraham Lincoln
1558,Bulgaria
1807,Luxembourg
2774,The Hunger Games
3402,Arsenal_F.C.
2953,William Shakespeare
396,No country bordering Russia uses the Euro as currency.
566,China
2611,Mountain Time Zone-US
2609,Algeria
524,Ukraine
2755,Algeria
192,Not provided in the context.
353,University of Oxford
1930,New England Patriots
782,Chivas USA
703,Louisiana State University
3316,The context does not provide information about Derek Fisher attending a college.
1831,"The context does not provide information about tourist attractions in Sydney, Australia."
1748,Egypt
1165,"Illinois (country, biblioness location)"
1464,Cheaper by the Dozen (does not have a Netflix ID in the provided context)
3069,"The context does not provide information about Netflix IDs for films, so it's impossible to determine which Liam Hemsworth film has the largest Netflix ID based on the given context."
793,Ukraine
2060,Museo Nacional del Prado
1497,Nigeria
104,Abraham Lincoln
2103,Abraham Lincoln
993,Tennessee (No Battle of Shiloh occurred in the given context)
3446,Abraham Lincoln did not influence Whitman's poetry.
1593,Peru
1954,Tennessee
1721,South_Carolina
1405,Paraguay
824,"Arsenal_F.C. has won the most FA cups, but it's not stated when it was founded in the given context."
1259,News Corporation
1789,Abraham Lincoln
1103,Not provided in the context.
1060,Czech Republic
1186,Louisiana State University
1613,Austria
3140,Colorado
921,Marcel Duchamp (died 1968)
1434,Mali
2957,"University College, Oxford"
2931,"University of Oxford (not mentioned in the context, but Andrew_Lloyd_Webber attended it)"
769,Abraham Lincoln
1193,"Bhutan (not directly mentioned in the context, but it's the location of the marriage, and Bhutan is a country that borders China)"
1797,Manchester United F.C.
3355,Egypt
1144,Not provided (Miley Cyrus is not in the given context)
1346,Luxembourg
721,Olympique de Marseille
1579,Qatar does not have an Arabic speaking country with the largest country calling code.
2189,Priest-GB
1327,Germany (ISO numeric: 276)
1214,Canada_men's_national_soccer_team
929,Austria
2149,Joe Jonas
1213,Egypt (The context does not provide information about armies or the Pyramids at Giza)
757,Bulgaria
1411,Columbia Law School
1715,Liechtenstein does not have a country calling code.
3511,Chivas USA
1108,Arsenal_F.C.
996,Battleship
3282,Harvard College (founded in 1636)
2979,Gettysburg College
1097,Humboldt University of Berlin
1706,Louisiana State University
1504,Tinker Bell: Secret of the Wings
865,Illinois
1087,Turkey has the largest army among Mediterranean countries.
665,The context does not provide information about Bob Dylan's residence.
938,Turkey (GNI per capita in PPP dollars is higher in Turkey compared to other Mediterranean countries)
1306,Brazil
767,Abraham Lincoln
2297,Luxembourg
736,University of Arkansas
1821,Abraham Lincoln
3040,Gettysburg College (not specified that Jerry Spinelli attended)
2454,"Nigeria does not have a largest calling code among the countries that the Niger River flows through. The Niger River primarily flows through Mali, Guinea, and Nigeria, but it does not determine a country's calling code."
1591,Iowa State University
1505,Nick Jonas
1872,Michigan Wolverines football
1475,Argentina (54)
1875,Oscar Wilde
1679,Hungary
3376,Nigeria
2381,Georgia
1364,Austria
1632,Yemen-US
1500,Tajikistan does not border China.
3387,Cheaper by the Dozen
1620,Abraham Lincoln
1914,Cheaper by the Dozen
1192,Paraguay
3320,Algeria (DZ)
1637,Nigeria has the largest population among the countries through which the Niger River flows.
1710,Museo Nacional del Prado
2959,Bulgaria
1303,Las Vegas
1153,"Kansas, as it became a state in 1861, had the earliest adapted state bird (western meadowlark) and state flower (sunflower)."
3082,Abraham Lincoln
652,Harry Potter and the Philosopher's Stone
1549,Azerbaijan
1056,Douglas County
660,The context does not provide information about Joey King or her residence.
1070,Manhattan
2898,Brazil (55)
3254,Temple University
1901,Not provided in the context.
2507,Abraham Lincoln did not influence Whitman's poetry.
2261,Miami Dolphins
